ID;UF;Região;Mês;Genero;Faixa etária;Nivel de graduação;Área de graduação;Empresa;Perfil;Curso;Tipo C H;Carga horária;Tipo de Curso;Turma;Status
MT176;BA;Nordeste;2;Feminino;18-29;Ens. Médio;Ciências Extas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/60;Não Iniciado
MT177;PR;Sul;3;Masculino;40-49;Pós Graduação;NI;Lua;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/17;Aprovado
MT178;MG;Sudeste;3;Feminino;30-39;NI;Ciências Extas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/18;Não Iniciado
MT179;SP;Sudeste;3;Masculino;50-59;Pós Graduação;NI;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/19;Aprovado
MT180;RN;Nordeste;3;Feminino;18-29;Pós Graduação;Ciências Extas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/20;Reprovado
MT181;RN;Nordeste;3;Masculino;40-49;Pós Graduação;NI;Sol;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/21;Não Iniciado
MT182;RS;Sul;3;Feminino;30-39;NI;Ciências Extas;Lua;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/22;Aprovado
MT183;SC;Sul;3;Masculino;50-59;Pós Graduação;Administração;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/23;Aprovado
MT184;PR;Sul;3;Feminino;18-29;Pós Graduação;Ciências Humas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/24;Aprovado
MT185;MG;Sudeste;3;Masculino;40-49;NI;Técnologia ;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/25;Não Iniciado
MT186;SP;Sudeste;2;Masculino;30-39;Graduação;Educação;Lua;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/26;Aprovado
MT187;BA;Nordeste;2;Masculino;50-59;Pós Graduação;Saúde;Sol;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/27;Reprovado
MT188;PR;Sul;2;Masculino;18-29;NI;Ciências Extas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/28;Não Iniciado
MT189;MG;Sudeste;2;Masculino;40-49;Graduação;NI;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/29;Aprovado
MT190;SP;Sudeste;4;Feminino;30-39;Pós Graduação;Ciências Extas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/30;Aprovado
MT191;RN;Nordeste;4;Masculino;50-59;NI;NI;Lua;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/31;Aprovado
MT192;RN;Nordeste;4;Feminino;18-29;Graduação;Ciências Extas;Lua;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/32;Aprovado
MT193;RS;Sul;4;Masculino;40-49;Ens. Médio;NI;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/33;Aprovado
MT194;SC;Sul;4;Feminino;30-39;Graduação;Ciências Extas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/34;Não Iniciado
MT195;PR;Sul;4;Masculino;50-59;Ens. Médio;Ciências Humas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/35;Aprovado
MT196;MG;Sudeste;1;Feminino;18-29;NI;Ciências Humas;Sol;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/36;Reprovado
MT197;SP;Sudeste;1;Masculino;40-49;Graduação;NI;Lua;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/37;Não Iniciado
MT198;BA;Nordeste;1;Feminino;30-39;Ens. Médio;Ciências Extas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/38;Aprovado
MT199;PR;Sul;2;Masculino;50-59;Graduação;Administração;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/39;Aprovado
MT200;MG;Sudeste;2;Masculino;18-29;Ens. Médio;Ciências Humas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/40;Aprovado
MT201;SP;Sudeste;2;Masculino;40-49;NI;Técnologia ;Estrela;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/41;Não Iniciado
MT202;RN;Nordeste;3;Masculino;30-39;Pós Graduação;Educação;Estrela;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/42;Aprovado
MT203;RN;Nordeste;3;Masculino;50-59;Pós Graduação;Saúde;Constelação;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/43;Reprovado
MT204;RS;Sul;3;Masculino;18-29;NI;Ciências Humas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/44;Não Iniciado
MT205;SC;Sul;3;Masculino;40-49;Graduação;Ciências Humas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/45;Aprovado
MT206;PR;Sul;3;Feminino;30-39;Pós Graduação;Ciências Humas;Lua;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/46;Aprovado
MT207;MG;Sudeste;3;Masculino;50-59;NI;Administração;Cometa;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/47;Aprovado
MT208;SP;Sudeste;3;Masculino;18-29;Graduação;Ciências Humas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/48;Não Iniciado
MT209;BA;Nordeste;3;Masculino;40-49;Pós Graduação;Técnologia ;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/49;Aprovado
MT210;PR;Sul;2;Feminino;30-39;NI;Educação;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/50;Reprovado
MT211;MG;Sudeste;2;Masculino;50-59;Graduação;Saúde;Sol;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/51;Não Iniciado
MT212;SP;Sudeste;2;Feminino;18-29;Ens. Médio;Ciências Extas;Estrela;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/52;Aprovado
MT213;RN;Nordeste;2;Masculino;40-49;Graduação;NI;Estrela;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/53;Aprovado
MT214;RN;Nordeste;2;Feminino;30-39;Ens. Médio;Ciências Extas;Constelação;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/54;Aprovado
MT215;RS;Sul;2;Masculino;50-59;NI;Ciências Humas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/55;Aprovado
MT216;SC;Sul;2;Feminino;18-29;Graduação;Ciências Humas;Sol;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/56;Aprovado
MT217;PR;Sul;2;Masculino;40-49;Ens. Médio;Ciências Extas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/57;Não Iniciado
MT218;MG;Sudeste;2;Feminino;30-39;Graduação;Ciências Extas;Cometa;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/58;Aprovado
MT219;SP;Sudeste;2;Masculino;50-59;Ens. Médio;Ciências Extas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/59;Reprovado
MT220;BA;Nordeste;2;Feminino;18-29;Ens. Médio;Ciências Extas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/60;Não Iniciado
MT221;PR;Sul;3;Masculino;40-49;Pós Graduação;NI;Lua;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/17;Aprovado
MT222;MG;Sudeste;3;Feminino;30-39;NI;Ciências Extas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/18;Não Iniciado
MT223;SP;Sudeste;3;Masculino;50-59;Pós Graduação;NI;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/19;Aprovado
MT224;RN;Nordeste;3;Feminino;18-29;Pós Graduação;Ciências Extas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/20;Reprovado
MT225;RN;Nordeste;3;Masculino;40-49;Pós Graduação;NI;Sol;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/21;Não Iniciado
MT226;RS;Sul;3;Feminino;30-39;NI;Ciências Extas;Lua;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/22;Aprovado
MT227;SC;Sul;3;Masculino;50-59;Pós Graduação;NI;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/23;Aprovado
MT228;PR;Sul;3;Feminino;18-29;Pós Graduação;Ciências Extas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/24;Aprovado
MT229;MG;Sudeste;3;Masculino;40-49;NI;Ciências Humas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/25;Não Iniciado
MT230;SP;Sudeste;2;Feminino;30-39;Graduação;Ciências Humas;Lua;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/26;Aprovado
MT231;BA;Nordeste;2;Masculino;50-59;Pós Graduação;Administração;Sol;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/27;Reprovado
MT232;PR;Sul;2;Feminino;18-29;NI;Ciências Humas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/28;Não Iniciado
MT233;MG;Sudeste;2;Masculino;40-49;Graduação;Técnologia ;Estrela;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/29;Aprovado
MT234;SP;Sudeste;4;Feminino;30-39;Pós Graduação;Educação;Estrela;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/30;Aprovado
MT235;RN;Nordeste;4;Masculino;50-59;NI;Saúde;Constelação;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/31;Aprovado
MT236;RN;Nordeste;4;Feminino;18-29;Graduação;Ciências Extas;Lua;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/32;Aprovado
MT237;RS;Sul;4;Masculino;40-49;Ens. Médio;NI;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/33;Aprovado
MT238;SC;Sul;4;Feminino;30-39;Graduação;Ciências Extas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/34;Não Iniciado
MT239;PR;Sul;4;Masculino;50-59;Ens. Médio;Ciências Humas;Cometa;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/35;Aprovado
MT240;MG;Sudeste;1;Feminino;18-29;NI;Ciências Humas;Sol;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/36;Reprovado
MT241;SP;Sudeste;1;Masculino;40-49;Graduação;NI;Lua;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/37;Não Iniciado
MT242;BA;Nordeste;1;Feminino;30-39;Ens. Médio;Ciências Extas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/38;Aprovado
MT243;PR;Sul;2;Masculino;50-59;Graduação;NI;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/39;Aprovado
MT244;MG;Sudeste;2;Feminino;18-29;Ens. Médio;Administração;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/40;Aprovado
MT245;SP;Sudeste;2;Masculino;40-49;NI;Ciências Humas;Lua;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/41;Não Iniciado
MT246;RN;Nordeste;3;Feminino;30-39;Pós Graduação;Técnologia ;Sol;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/42;Aprovado
MT247;RN;Nordeste;3;Masculino;50-59;Pós Graduação;Educação;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/43;Reprovado
MT248;RS;Sul;3;Feminino;18-29;NI;Saúde;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/44;Não Iniciado
MT249;SC;Sul;3;Masculino;40-49;Graduação;Ciências Humas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/45;Aprovado
MT250;PR;Sul;3;Feminino;30-39;Pós Graduação;Ciências Humas;Lua;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/46;Aprovado
MT251;MG;Sudeste;3;Masculino;50-59;NI;NI;Lua;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/47;Aprovado
MT252;SP;Sudeste;3;Feminino;18-29;Graduação;Administração;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/48;Não Iniciado
MT253;BA;Nordeste;3;Masculino;40-49;Pós Graduação;Ciências Humas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/49;Aprovado
MT254;PR;Sul;2;Feminino;30-39;NI;Técnologia ;Estrela;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/50;Reprovado
MT255;MG;Sudeste;2;Masculino;50-59;Graduação;Educação;Estrela;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/51;Não Iniciado
MT256;SP;Sudeste;2;Feminino;18-29;Ens. Médio;Saúde;Constelação;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/52;Aprovado
MT257;RN;Nordeste;2;Masculino;40-49;Graduação;NI;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/53;Aprovado
MT258;RN;Nordeste;2;Feminino;30-39;Ens. Médio;Ciências Extas;Sol;Estágiario;Conhecimento Gerais;EaD;2;Curta duração;T1/54;Aprovado
MT259;RS;Sul;2;Masculino;50-59;NI;Ciências Humas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/55;Aprovado
MT260;SC;Sul;2;Feminino;18-29;Graduação;Ciências Humas;Cometa;Estágiario;Conhecimento Gerais;EaD;2;Curta duração;T1/56;Aprovado
MT261;PR;Sul;2;Masculino;40-49;Ens. Médio;Ciências Extas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/57;Não Iniciado
MT262;MG;Sudeste;2;Feminino;30-39;Graduação;Ciências Extas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/58;Aprovado
MT263;SP;Sudeste;2;Masculino;50-59;Ens. Médio;Ciências Extas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/59;Reprovado
MT264;BA;Nordeste;2;Feminino;18-29;Ens. Médio;Ciências Extas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/60;Não Iniciado
MT265;RN;Nordeste;2;Masculino;40-49;Graduação;NI;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/53;Aprovado
MT266;RN;Nordeste;2;Feminino;30-39;Ens. Médio;Ciências Extas;Sol;Estágiario;Conhecimento Gerais;EaD;2;Curta duração;T1/54;Aprovado
MT267;RS;Sul;2;Masculino;50-59;NI;Ciências Humas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/55;Aprovado
MT268;SC;Sul;2;Feminino;18-29;Graduação;Ciências Humas;Lua;Estágiario;Conhecimento Gerais;EaD;2;Curta duração;T1/56;Aprovado
MT269;PR;Sul;2;Masculino;40-49;Ens. Médio;Ciências Extas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/57;Não Iniciado
MT270;MG;Sudeste;2;Feminino;30-39;Graduação;Ciências Extas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/58;Aprovado
MT271;SP;Sudeste;2;Masculino;50-59;Ens. Médio;Ciências Extas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/59;Reprovado
MT272;BA;Nordeste;2;Feminino;18-29;Ens. Médio;Ciências Extas;Estrela;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/60;Não Iniciado
MT273;RN;Nordeste;2;Masculino;40-49;Graduação;NI;Estrela;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/53;Aprovado
MT274;RN;Nordeste;2;Feminino;30-39;Ens. Médio;Ciências Extas;Constelação;Estágiario;Conhecimento Gerais;EaD;2;Curta duração;T1/54;Aprovado
MT275;RS;Sul;2;Masculino;50-59;NI;Ciências Humas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/55;Aprovado
MT276;SC;Sul;2;Feminino;18-29;Graduação;Administração;Sol;Estágiario;Conhecimento Gerais;EaD;2;Curta duração;T1/56;Aprovado
MT277;PR;Sul;2;Masculino;40-49;Ens. Médio;Ciências Humas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/57;Não Iniciado
MT278;MG;Sudeste;2;Feminino;30-39;Graduação;Técnologia ;Cometa;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/58;Aprovado
MT279;SP;Sudeste;2;Masculino;50-59;Ens. Médio;Educação;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/59;Reprovado
MT280;BA;Nordeste;2;Feminino;18-29;Ens. Médio;Saúde;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/60;Não Iniciado
MT281;RN;Nordeste;2;Masculino;40-49;Graduação;NI;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/53;Aprovado
MT282;RN;Nordeste;2;Feminino;30-39;Ens. Médio;Ciências Extas;Sol;Estágiario;Conhecimento Gerais;EaD;2;Curta duração;T1/54;Aprovado
MT283;RS;Sul;2;Masculino;50-59;NI;Ciências Humas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/55;Aprovado
MT284;SC;Sul;2;Feminino;18-29;Graduação;Ciências Humas;Lua;Estágiario;Conhecimento Gerais;EaD;2;Curta duração;T1/56;Aprovado
MT285;PR;Sul;2;Masculino;40-49;Ens. Médio;Ciências Extas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/57;Não Iniciado
MT286;MG;Sudeste;2;Feminino;30-39;Graduação;Ciências Extas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/58;Aprovado
MT287;SP;Sudeste;2;Masculino;50-59;Ens. Médio;Ciências Extas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/59;Reprovado
MT288;BA;Nordeste;2;Feminino;18-29;Ens. Médio;Ciências Extas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/60;Não Iniciado
MT289;RN;Nordeste;3;Masculino;30-39;Pós Graduação;Ciências Extas;Sol;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/42;Aprovado
MT290;RN;Nordeste;3;Masculino;50-59;Pós Graduação;NI;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/43;Reprovado
MT291;RS;Sul;3;Masculino;18-29;NI;Ciências Extas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/44;Não Iniciado
MT292;SC;Sul;3;Masculino;40-49;Graduação;Ciências Humas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/45;Aprovado
MT293;PR;Sul;3;Feminino;30-39;Pós Graduação;Ciências Humas;Lua;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/46;Aprovado
MT294;MG;Sudeste;3;Masculino;50-59;NI;Administração;Lua;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/47;Aprovado
MT295;SP;Sudeste;3;Masculino;18-29;Graduação;Ciências Humas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/48;Não Iniciado
MT296;BA;Nordeste;3;Masculino;40-49;Pós Graduação;Técnologia ;Estrela;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/49;Aprovado
MT297;PR;Sul;2;Feminino;30-39;NI;Educação;Estrela;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/50;Reprovado
MT298;MG;Sudeste;2;Masculino;50-59;Graduação;Saúde;Constelação;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/51;Não Iniciado
MT299;SP;Sudeste;2;Feminino;18-29;Ens. Médio;Ciências Extas;Lua;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/52;Aprovado
MT300;RN;Nordeste;2;Masculino;40-49;Graduação;Saúde;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/53;Aprovado
MT301;RN;Nordeste;2;Feminino;30-39;Ens. Médio;Saúde;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/54;Aprovado
MT302;RS;Sul;2;Masculino;50-59;NI;Ciências Humas;Cometa;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/55;Aprovado
MT303;SC;Sul;2;Feminino;18-29;Graduação;Técnologia ;Lua;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/56;Aprovado
MT304;PR;Sul;2;Masculino;40-49;Ens. Médio;Educação;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/57;Não Iniciado
MT305;MG;Sudeste;2;Feminino;30-39;Graduação;Saúde;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/58;Aprovado
MT306;SP;Sudeste;2;Masculino;50-59;Ens. Médio;Ciências Extas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/59;Reprovado
MT307;BA;Nordeste;2;Feminino;18-29;Ens. Médio;Ciências Extas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/60;Não Iniciado
MT308;PR;Sul;3;Masculino;40-49;Pós Graduação;NI;Lua;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/17;Aprovado
MT309;MG;Sudeste;3;Feminino;30-39;NI;Ciências Extas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/18;Não Iniciado
MT310;SP;Sudeste;3;Masculino;50-59;Pós Graduação;NI;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/19;Aprovado
MT311;RN;Nordeste;3;Feminino;18-29;Pós Graduação;Ciências Extas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/20;Reprovado
MT312;RN;Nordeste;3;Masculino;40-49;Pós Graduação;NI;Sol;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/21;Não Iniciado
MT313;RS;Sul;3;Feminino;30-39;NI;Ciências Extas;Lua;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/22;Aprovado
MT314;SC;Sul;3;Masculino;50-59;Pós Graduação;NI;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/23;Aprovado
MT315;PR;Sul;3;Feminino;18-29;Pós Graduação;Ciências Extas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/24;Aprovado
MT316;MG;Sudeste;3;Masculino;40-49;NI;Ciências Humas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/25;Não Iniciado
MT317;SP;Sudeste;2;Feminino;30-39;Graduação;Ciências Humas;Estrela;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/26;Aprovado
MT318;BA;Nordeste;2;Masculino;50-59;Pós Graduação;NI;Estrela;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/27;Reprovado
MT319;PR;Sul;2;Feminino;18-29;NI;Ciências Extas;Constelação;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/28;Não Iniciado
MT320;MG;Sudeste;2;Masculino;40-49;Graduação;NI;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/29;Aprovado
MT321;SP;Sudeste;4;Feminino;30-39;Pós Graduação;Ciências Extas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/30;Aprovado
MT322;RN;Nordeste;4;Masculino;50-59;NI;Administração;Lua;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/31;Aprovado
MT323;RN;Nordeste;4;Feminino;18-29;Graduação;Ciências Humas;Cometa;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/32;Aprovado
MT324;RS;Sul;4;Masculino;40-49;Ens. Médio;Técnologia ;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/33;Aprovado
MT325;SC;Sul;4;Feminino;30-39;Graduação;Educação;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/34;Não Iniciado
MT326;PR;Sul;4;Masculino;50-59;Ens. Médio;Saúde;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/35;Aprovado
MT327;MG;Sudeste;1;Feminino;18-29;NI;Ciências Humas;Sol;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/36;Reprovado
MT328;SP;Sudeste;1;Masculino;40-49;Graduação;NI;Lua;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/37;Não Iniciado
MT329;BA;Nordeste;1;Feminino;30-39;Ens. Médio;Ciências Extas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/38;Aprovado
MT330;PR;Sul;2;Masculino;50-59;Graduação;Saúde;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/39;Aprovado
MT331;MG;Sudeste;2;Feminino;18-29;Ens. Médio;Saúde;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/40;Aprovado
MT332;SP;Sudeste;2;Masculino;40-49;NI;NI;Lua;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/41;Não Iniciado
MT333;RN;Nordeste;3;Feminino;30-39;Pós Graduação;Ciências Extas;Sol;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/42;Aprovado
MT334;RN;Nordeste;3;Masculino;50-59;Pós Graduação;NI;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/43;Reprovado
MT335;RS;Sul;3;Feminino;18-29;NI;Ciências Extas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/44;Não Iniciado
MT336;SC;Sul;3;Masculino;40-49;Graduação;Ciências Humas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/45;Aprovado
MT337;PR;Sul;3;Feminino;30-39;Pós Graduação;Ciências Humas;Lua;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/46;Aprovado
MT338;MG;Sudeste;3;Masculino;50-59;NI;NI;Estrela;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/47;Aprovado
MT339;SP;Sudeste;3;Feminino;18-29;Graduação;Ciências Extas;Estrela;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/48;Não Iniciado
MT340;BA;Nordeste;3;Masculino;40-49;Pós Graduação;NI;Constelação;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/49;Aprovado
MT341;PR;Sul;2;Feminino;30-39;NI;Ciências Extas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/50;Reprovado
MT342;MG;Sudeste;2;Masculino;50-59;Graduação;NI;Sol;NI;Conhecimento Gerais;EaD;2;Curta duração;T1/51;Não Iniciado
MT343;SP;Sudeste;2;Feminino;18-29;Ens. Médio;Ciências Extas;Lua;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/52;Aprovado
MT344;RN;Nordeste;2;Masculino;40-49;Graduação;NI;Cometa;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/53;Aprovado
MT345;RN;Nordeste;2;Feminino;30-39;Ens. Médio;Ciências Extas;Sol;Estágiario;Conhecimento Gerais;EaD;2;Curta duração;T1/54;Aprovado
MT346;RS;Sul;2;Masculino;50-59;NI;Ciências Humas;Lua;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/55;Aprovado
MT347;SC;Sul;2;Feminino;18-29;Graduação;Ciências Humas;Lua;Estágiario;Conhecimento Gerais;EaD;2;Curta duração;T1/56;Aprovado
MT348;PR;Sul;2;Masculino;40-49;Ens. Médio;Ciências Extas;Sol;Técnico ;Conhecimento Gerais;EaD;2;Curta duração;T1/57;Não Iniciado
MT349;RN;Nordeste;3;Masculino;30-39;Pós Graduação;Ciências Extas;Sol;Gestor;Conhecimento Gerais;EaD;2;Curta duração;T1/42;Aprovado
