Id;Produto;Qte Vendida;Data;Loja; Preço Unitário ;Cor;Tamanho;Genero;;;;;;;;
1016;Botas;1;31/10/2021;Campinas - SP;R$ 140,00;Azul;39;M;;;;;;;;
1017;Tênis;1;15/03/2021;Curitiba - PR;R$ 144,00;Vermelho;38;F;;;;;;;;
1018;Sandália;5;31/12/2021;Cascavel - PR;R$ 210,00;Rosa;12;F;;;;;;;;
1019;Chinelos;4;22/08/2021;Florianópolis - SC;R$ 212,99;Preto;1;F;;;;;;;;
1020;Moda Infantil;3;06/01/2021;Chapecó - SC;R$ 199,99;Branco;37;F;;;;;;;;
1021;Sapato Masculino;5;02/02/2021;Goiânia - GO;R$ 510,99;Verde;36;M;;;;;;;;
1022;Sapato Feminino;3;16/12/2021;Maringá - PR;R$ 411,11;Verde;34;M;;;;;;;;
1023;Tênis;2;19/04/2021;Araçatuba - SP;R$ 436,33;Azul;34;F;;;;;;;;
1024;Tênis;5;06/07/2021;Belo Horizonte - MG;R$ 476,38;Vermelho;35;M;;;;;;;;
1025;Moda Adulta;2;01/04/2021;São Paulo - SP;R$ 516,42;Rosa;36;F;;;;;;;;
1026;Moda Infantil;4;26/07/2021;Salvador -BA;R$ 556,46;Preto;22;M;;;;;;;;
1027;Moda Bebe;4;12/05/2021;Rio de Janeiro - RJ;R$ 596,51;Branco;44;F;;;;;;;;
1028;Chinelos;5;20/08/2021;Campinas - SP;R$ 636,55;Verde;36;F;;;;;;;;
1029;Botas;2;29/09/2021;Curitiba - PR;R$ 676,60;Verde;40;F;;;;;;;;
1030;Tênis;2;08/08/2021;Cascavel - PR;R$ 716,64;Azul;39;F;;;;;;;;
1031;Sandália;1;11/09/2021;Florianópolis - SC;R$ 756,68;Vermelho;38;M;;;;;;;;
1032;Chinelos;1;07/06/2021;Chapecó - SC;R$ 510,99;Rosa;12;M;;;;;;;;
1033;Moda Infantil;5;03/03/2021;Goiânia - GO;R$ 411,11;Preto;1;F;;;;;;;;
1034;Sapato Masculino;4;04/03/2021;Maringá - PR;R$ 220,00;Branco;37;M;;;;;;;;
1035;Sapato Feminino;3;13/05/2021;Araçatuba - SP;R$ 140,00;Verde;36;F;;;;;;;;
1036;Moda Bebe;5;13/11/2021;Belo Horizonte - MG;R$ 144,00;Verde;34;M;;;;;;;;
1037;Chinelos;3;07/02/2021;São Paulo - SP;R$ 210,00;Azul;34;F;;;;;;;;
1038;Botas;2;23/12/2021;Salvador -BA;R$ 212,99;Vermelho;35;F;;;;;;;;
1039;Tênis;5;16/09/2021;Rio de Janeiro - RJ;R$ 199,99;Rosa;36;F;;;;;;;;
1040;Sandália;2;04/09/2021;Campinas - SP;R$ 510,99;Preto;22;F;;;;;;;;
1041;Chinelos;4;08/05/2021;Curitiba - PR;R$ 411,11;Branco;44;M;;;;;;;;
1042;Moda Infantil;4;16/03/2021;Cascavel - PR;R$ 436,33;Verde;36;M;;;;;;;;
1043;Sapato Masculino;5;19/06/2021;Florianópolis - SC;R$ 476,38;Verde;40;F;;;;;;;;
1044;Tênis;2;01/01/2021;Chapecó - SC;R$ 516,42;Azul;39;M;;;;;;;;
1045;Sandália;2;07/08/2021;Goiânia - GO;R$ 556,46;Vermelho;38;F;;;;;;;;
1046;Chinelos;1;17/11/2021;Maringá - PR;R$ 596,51;Rosa;12;M;;;;;;;;
1047;Moda Infantil;1;18/07/2021;Araçatuba - SP;R$ 636,55;Preto;1;F;;;;;;;;
1048;Sapato Masculino;5;02/04/2021;Belo Horizonte - MG;R$ 676,60;Branco;37;F;;;;;;;;
1049;Sapato Feminino;4;25/03/2021;São Paulo - SP;R$ 716,64;Verde;36;F;;;;;;;;
1050;Tênis;5;09/01/2021;Salvador -BA;R$ 756,68;Verde;34;F;;;;;;;;
1051;Tênis;2;22/01/2021;Rio de Janeiro - RJ;R$ 510,99;Azul;34;M;;;;;;;;
1052;Moda Adulta;2;01/02/2021;Campinas - SP;R$ 411,11;Vermelho;35;M;;;;;;;;
1053;Moda Infantil;1;20/05/2021;Curitiba - PR;R$ 220,00;Rosa;36;F;;;;;;;;
1054;Moda Bebe;1;25/12/2021;Cascavel - PR;R$ 140,00;Preto;22;M;;;;;;;;
1055;Chinelos;5;03/04/2021;Florianópolis - SC;R$ 144,00;Branco;44;F;;;;;;;;
1056;Botas;4;11/08/2021;Chapecó - SC;R$ 210,00;Verde;36;M;;;;;;;;
1057;Tênis;3;10/05/2021;Goiânia - GO;R$ 212,99;Verde;40;F;;;;;;;;
1058;Sandália;5;27/05/2021;Maringá - PR;R$ 199,99;Azul;39;F;;;;;;;;
1059;Chinelos;3;20/11/2021;Araçatuba - SP;R$ 510,99;Vermelho;38;F;;;;;;;;
1060;Moda Infantil;2;12/05/2021;Belo Horizonte - MG;R$ 411,11;Rosa;12;F;;;;;;;;
1061;Sapato Masculino;5;10/01/2021;São Paulo - SP;R$ 436,33;Preto;1;M;;;;;;;;
1062;Sapato Feminino;2;20/12/2021;Salvador -BA;R$ 476,38;Branco;37;M;;;;;;;;
1063;Tênis;4;29/12/2021;Rio de Janeiro - RJ;R$ 516,42;Verde;36;F;;;;;;;;
1064;Tênis;4;08/08/2021;Campinas - SP;R$ 556,46;Verde;34;M;;;;;;;;
1065;Moda Adulta;5;20/03/2021;Curitiba - PR;R$ 596,51;Azul;34;F;;;;;;;;
1066;Moda Bebe;2;10/09/2021;Cascavel - PR;R$ 636,55;Vermelho;35;M;;;;;;;;
1067;Chinelos;2;13/02/2021;Florianópolis - SC;R$ 676,60;Rosa;36;F;;;;;;;;
1068;Botas;1;16/04/2021;Chapecó - SC;R$ 716,64;Preto;22;F;;;;;;;;
1069;Tênis;1;12/10/2021;Goiânia - GO;R$ 756,68;Branco;44;F;;;;;;;;
1070;Sandália;5;29/12/2021;Maringá - PR;R$ 510,99;Verde;36;F;;;;;;;;
1071;Chinelos;4;04/05/2021;Araçatuba - SP;R$ 411,11;Verde;40;M;;;;;;;;
1072;Moda Infantil;3;07/07/2021;Belo Horizonte - MG;R$ 220,00;Azul;39;M;;;;;;;;
1073;Sapato Masculino;5;26/03/2021;São Paulo - SP;R$ 140,00;Vermelho;38;F;;;;;;;;
1074;Sapato Feminino;3;18/06/2021;Salvador -BA;R$ 144,00;Rosa;12;M;;;;;;;;
1075;Tênis;2;15/05/2021;Rio de Janeiro - RJ;R$ 210,00;Preto;41;F;;;;;;;;
1076;Tênis;5;26/10/2021;Campinas - SP;R$ 212,99;Branco;37;M;;;;;;;;
1077;Sandália;2;01/10/2021;Curitiba - PR;R$ 199,99;Verde;36;F;;;;;;;;
1078;Chinelos;4;01/06/2021;Cascavel - PR;R$ 510,99;Verde;34;F;;;;;;;;
1079;Moda Infantil;4;17/06/2021;Florianópolis - SC;R$ 411,11;Azul;34;F;;;;;;;;
1080;Sapato Masculino;5;01/06/2021;Chapecó - SC;R$ 436,33;Vermelho;35;F;;;;;;;;
1081;Tênis;2;18/02/2021;Goiânia - GO;R$ 476,38;Rosa;36;M;;;;;;;;
1082;Sandália;2;23/05/2021;Maringá - PR;R$ 516,42;Preto;22;M;;;;;;;;
1083;Chinelos;1;20/10/2021;Araçatuba - SP;R$ 556,46;Branco;44;F;;;;;;;;
1084;Moda Infantil;1;27/12/2021;Belo Horizonte - MG;R$ 596,51;Verde;36;M;;;;;;;;
1085;Sapato Masculino;5;03/09/2021;São Paulo - SP;R$ 636,55;Verde;40;F;;;;;;;;
1086;Sapato Feminino;4;15/03/2021;Salvador -BA;R$ 676,60;Azul;39;M;;;;;;;;
1087;Tênis;3;21/09/2021;Rio de Janeiro - RJ;R$ 716,64;Vermelho;38;F;;;;;;;;
1088;Tênis;5;28/12/2021;Campinas - SP;R$ 756,68;Rosa;12;F;;;;;;;;
1089;Moda Adulta;3;22/02/2021;Curitiba - PR;R$ 540,18;Preto;1;F;;;;;;;;
1090;Moda Infantil;2;24/04/2021;Cascavel - PR;R$ 543,13;Branco;37;F;;;;;;;;
1091;Moda Bebe;5;05/11/2021;Florianópolis - SC;R$ 546,09;Verde;36;M;;;;;;;;
1092;Chinelos;2;07/06/2021;Chapecó - SC;R$ 140,00;Verde;34;M;;;;;;;;
1093;Botas;4;04/11/2021;Goiânia - GO;R$ 144,00;Azul;34;F;;;;;;;;
1094;Tênis;4;21/12/2021;Maringá - PR;R$ 210,00;Vermelho;35;M;;;;;;;;
1095;Sandália;5;29/06/2021;Araçatuba - SP;R$ 212,99;Rosa;36;F;;;;;;;;
1096;Chinelos;2;22/06/2021;Belo Horizonte - MG;R$ 247,99;Preto;22;M;;;;;;;;
1097;Moda Infantil;2;17/09/2021;São Paulo - SP;R$ 276,49;Branco;44;F;;;;;;;;
1098;Sapato Masculino;1;14/10/2021;Salvador -BA;R$ 304,98;Verde;36;F;;;;;;;;
1099;Sapato Feminino;1;22/05/2021;Rio de Janeiro - RJ;R$ 333,48;Verde;40;F;;;;;;;;
1100;Tênis;5;09/09/2021;Campinas - SP;R$ 361,98;Azul;39;F;;;;;;;;
1101;Tênis;4;09/06/2021;Curitiba - PR;R$ 220,00;Vermelho;38;M;;;;;;;;
1102;Moda Adulta;3;25/07/2021;Cascavel - PR;R$ 140,00;Rosa;12;M;;;;;;;;
1103;Moda Infantil;5;17/09/2021;Florianópolis - SC;R$ 144,00;Preto;1;F;;;;;;;;
1104;Moda Bebe;3;06/03/2021;Chapecó - SC;R$ 210,00;Branco;37;M;;;;;;;;
1105;Chinelos;2;25/08/2021;Goiânia - GO;R$ 212,99;Verde;36;F;;;;;;;;
1106;Botas;5;23/12/2021;Maringá - PR;R$ 199,99;Verde;34;M;;;;;;;;
1107;Tênis;2;21/04/2021;Araçatuba - SP;R$ 510,99;Azul;34;F;;;;;;;;
1108;Sandália;4;29/09/2021;Belo Horizonte - MG;R$ 411,11;Vermelho;35;F;;;;;;;;
1109;Chinelos;4;20/03/2021;Belo Horizonte - MG;R$ 220,00;Rosa;36;F;;;;;;;;
1110;Moda Infantil;5;08/07/2021;São Paulo - SP;R$ 140,00;Preto;22;F;;;;;;;;
1111;Sapato Masculino;2;07/06/2021;Salvador -BA;R$ 144,00;Branco;44;M;;;;;;;;
1112;Sapato Feminino;2;14/09/2021;Rio de Janeiro - RJ;R$ 210,00;Verde;36;M;;;;;;;;
1113;Tênis;1;04/10/2021;Campinas - SP;R$ 212,99;Verde;40;F;;;;;;;;
1114;Tênis;1;12/10/2021;Curitiba - PR;R$ 199,99;Azul;39;M;;;;;;;;
1115;Moda Adulta;5;08/07/2021;Cascavel - PR;R$ 510,99;Vermelho;38;F;;;;;;;;
1116;Moda Infantil;4;11/05/2021;Florianópolis - SC;R$ 411,11;Rosa;12;M;;;;;;;;
1117;Moda Bebe;3;14/12/2021;Chapecó - SC;R$ 220,00;Preto;1;F;;;;;;;;
1118;Chinelos;5;19/10/2021;Goiânia - GO;R$ 140,00;Branco;37;F;;;;;;;;
1119;Botas;3;10/06/2021;Maringá - PR;R$ 144,00;Verde;36;F;;;;;;;;
1120;Tênis;2;21/05/2021;Araçatuba - SP;R$ 210,00;Verde;34;F;;;;;;;;
1121;Sandália;5;16/09/2021;Belo Horizonte - MG;R$ 212,99;Azul;34;M;;;;;;;;
1122;Chinelos;2;07/05/2021;Cascavel - PR;R$ 199,99;Vermelho;35;M;;;;;;;;
1123;Moda Infantil;4;22/04/2021;Florianópolis - SC;R$ 510,99;Rosa;36;F;;;;;;;;
1124;Sapato Masculino;4;13/03/2021;Chapecó - SC;R$ 411,11;Preto;22;M;;;;;;;;
1125;Sapato Feminino;5;23/02/2021;Goiânia - GO;R$ 220,00;Branco;44;F;;;;;;;;
1126;Moda Bebe;2;18/09/2021;Maringá - PR;R$ 140,00;Verde;36;M;;;;;;;;
1127;Chinelos;2;23/05/2021;Araçatuba - SP;R$ 144,00;Verde;40;F;;;;;;;;
1128;Botas;1;04/02/2021;Belo Horizonte - MG;R$ 210,00;Azul;39;F;;;;;;;;
1129;Tênis;1;29/05/2021;São Paulo - SP;R$ 212,99;Vermelho;38;F;;;;;;;;
1130;Sandália;5;04/05/2021;Salvador -BA;R$ 199,99;Rosa;12;F;;;;;;;;
1131;Chinelos;4;08/07/2021;Salvador -BA;R$ 510,99;Preto;1;M;;;;;;;;
1132;Moda Infantil;3;17/05/2021;Rio de Janeiro - RJ;R$ 411,11;Branco;37;M;;;;;;;;
1133;Sapato Masculino;5;16/07/2021;Campinas - SP;R$ 436,33;Verde;36;F;;;;;;;;
1134;Tênis;3;16/10/2021;Curitiba - PR;R$ 476,38;Verde;34;M;;;;;;;;
1135;Sandália;2;06/12/2021;Cascavel - PR;R$ 516,42;Azul;34;F;;;;;;;;
1136;Chinelos;5;05/11/2021;Florianópolis - SC;R$ 556,46;Vermelho;35;M;;;;;;;;
1137;Moda Infantil;2;10/07/2021;Chapecó - SC;R$ 596,51;Rosa;36;F;;;;;;;;
1138;Sapato Masculino;4;06/06/2021;Goiânia - GO;R$ 636,55;Preto;22;F;;;;;;;;
1139;Sapato Feminino;4;02/07/2021;Maringá - PR;R$ 676,60;Branco;44;F;;;;;;;;
1140;Tênis;5;13/11/2021;Araçatuba - SP;R$ 716,64;Verde;36;F;;;;;;;;
1141;Tênis;2;29/09/2021;Belo Horizonte - MG;R$ 756,68;Verde;40;M;;;;;;;;
1142;Moda Adulta;2;04/07/2021;Salvador -BA;R$ 510,99;Azul;39;M;;;;;;;;
1143;Moda Infantil;1;12/02/2021;Rio de Janeiro - RJ;R$ 411,11;Vermelho;38;F;;;;;;;;
1144;Moda Bebe;1;16/01/2021;Campinas - SP;R$ 220,00;Rosa;12;M;;;;;;;;
1145;Chinelos;5;27/01/2021;Curitiba - PR;R$ 140,00;Preto;1;F;;;;;;;;
1146;Botas;4;30/05/2021;Cascavel - PR;R$ 144,00;Branco;37;M;;;;;;;;
1147;Tênis;3;05/09/2021;Florianópolis - SC;R$ 210,00;Verde;36;F;;;;;;;;
1148;Sandália;5;14/05/2021;Chapecó - SC;R$ 212,99;Verde;34;F;;;;;;;;
1149;Chinelos;3;30/11/2021;Goiânia - GO;R$ 199,99;Azul;34;F;;;;;;;;
1150;Moda Infantil;2;20/01/2021;Maringá - PR;R$ 510,99;Vermelho;35;F;;;;;;;;
1151;Sapato Masculino;5;18/09/2021;Araçatuba - SP;R$ 411,11;Rosa;36;M;;;;;;;;
1152;Sapato Feminino;2;15/08/2021;Belo Horizonte - MG;R$ 436,33;Preto;22;M;;;;;;;;
1153;Tênis;4;07/02/2021;São Paulo - SP;R$ 476,38;Branco;44;F;;;;;;;;
1154;Tênis;4;27/05/2021;Salvador -BA;R$ 516,42;Verde;36;M;;;;;;;;
1155;Moda Adulta;5;07/03/2021;Rio de Janeiro - RJ;R$ 556,46;Verde;40;F;;;;;;;;
1156;Moda Bebe;2;18/04/2021;Campinas - SP;R$ 596,51;Azul;39;M;;;;;;;;
1157;Chinelos;2;27/10/2021;Curitiba - PR;R$ 636,55;Vermelho;38;F;;;;;;;;
1158;Botas;1;22/11/2021;Cascavel - PR;R$ 676,60;Rosa;12;F;;;;;;;;
1159;Tênis;1;17/02/2021;Florianópolis - SC;R$ 716,64;Preto;1;F;;;;;;;;
1160;Sandália;5;20/07/2021;Chapecó - SC;R$ 756,68;Branco;37;F;;;;;;;;
1161;Chinelos;4;16/01/2021;Goiânia - GO;R$ 510,99;Verde;36;M;;;;;;;;
1162;Moda Infantil;3;31/05/2021;Maringá - PR;R$ 411,11;Verde;34;M;;;;;;;;
1163;Sapato Masculino;5;24/07/2021;Araçatuba - SP;R$ 220,00;Azul;34;F;;;;;;;;
1164;Sapato Feminino;3;10/08/2021;Belo Horizonte - MG;R$ 140,00;Vermelho;35;M;;;;;;;;
1165;Tênis;2;04/09/2021;São Paulo - SP;R$ 144,00;Rosa;36;F;;;;;;;;
1166;Tênis;5;14/12/2021;Salvador -BA;R$ 210,00;Preto;22;M;;;;;;;;
1167;Sandália;2;15/07/2021;Rio de Janeiro - RJ;R$ 212,99;Branco;44;F;;;;;;;;
1168;Chinelos;4;07/10/2021;Campinas - SP;R$ 199,99;Verde;36;F;;;;;;;;
1169;Moda Infantil;4;21/02/2021;Curitiba - PR;R$ 510,99;Verde;40;F;;;;;;;;
1170;Sapato Masculino;5;18/12/2021;Cascavel - PR;R$ 411,11;Azul;39;F;;;;;;;;
1171;Tênis;2;26/08/2021;Florianópolis - SC;R$ 436,33;Vermelho;38;M;;;;;;;;
1172;Sandália;2;12/03/2021;Chapecó - SC;R$ 476,38;Rosa;12;M;;;;;;;;
1173;Chinelos;1;08/11/2021;Goiânia - GO;R$ 516,42;Preto;41;F;;;;;;;;
1174;Moda Infantil;1;05/07/2021;Maringá - PR;R$ 556,46;Branco;37;M;;;;;;;;
1175;Sapato Masculino;5;18/12/2021;Araçatuba - SP;R$ 596,51;Verde;36;F;;;;;;;;
1176;Sapato Feminino;4;15/06/2021;Belo Horizonte - MG;R$ 636,55;Verde;34;M;;;;;;;;
1177;Tênis;3;20/08/2021;São Paulo - SP;R$ 676,60;Azul;34;F;;;;;;;;
1178;Tênis;5;16/05/2021;Salvador -BA;R$ 716,64;Vermelho;35;F;;;;;;;;
1179;Moda Adulta;3;07/01/2021;Rio de Janeiro - RJ;R$ 756,68;Rosa;36;F;;;;;;;;
1180;Moda Infantil;2;01/03/2021;Campinas - SP;R$ 510,99;Preto;22;F;;;;;;;;
1181;Moda Bebe;5;17/01/2021;Curitiba - PR;R$ 411,11;Branco;44;M;;;;;;;;
1182;Chinelos;2;27/09/2021;Cascavel - PR;R$ 220,00;Verde;36;M;;;;;;;;
1183;Botas;4;06/10/2021;Florianópolis - SC;R$ 140,00;Verde;40;F;;;;;;;;
1184;Tênis;4;01/01/2021;Chapecó - SC;R$ 144,00;Azul;39;M;;;;;;;;
1185;Sandália;5;16/02/2021;Goiânia - GO;R$ 210,00;Vermelho;38;F;;;;;;;;
1186;Chinelos;2;07/09/2021;Maringá - PR;R$ 212,99;Rosa;12;M;;;;;;;;
1187;Moda Infantil;2;18/01/2021;Araçatuba - SP;R$ 199,99;Preto;1;F;;;;;;;;
1188;Sapato Masculino;1;20/07/2021;Belo Horizonte - MG;R$ 510,99;Branco;37;F;;;;;;;;
1189;Sapato Feminino;1;09/10/2021;São Paulo - SP;R$ 411,11;Verde;36;F;;;;;;;;
1190;Tênis;5;08/04/2021;Salvador -BA;R$ 436,33;Verde;34;F;;;;;;;;
1191;Tênis;4;05/08/2021;Rio de Janeiro - RJ;R$ 476,38;Azul;34;M;;;;;;;;
1192;Moda Adulta;3;22/12/2021;Campinas - SP;R$ 516,42;Vermelho;35;M;;;;;;;;
1193;Moda Infantil;5;09/04/2021;Curitiba - PR;R$ 556,46;Rosa;36;F;;;;;;;;
1194;Moda Bebe;3;11/06/2021;Cascavel - PR;R$ 596,51;Preto;22;M;;;;;;;;
1195;Chinelos;2;09/11/2021;Florianópolis - SC;R$ 636,55;Branco;44;F;;;;;;;;
1196;Botas;5;24/10/2021;Chapecó - SC;R$ 676,60;Verde;36;M;;;;;;;;
1197;Tênis;2;20/10/2021;Goiânia - GO;R$ 716,64;Verde;40;F;;;;;;;;
1198;Sandália;4;30/06/2021;Maringá - PR;R$ 756,68;Azul;39;F;;;;;;;;
1199;Chinelos;4;19/02/2021;Araçatuba - SP;R$ 540,18;Vermelho;38;F;;;;;;;;
1200;Moda Infantil;5;24/08/2021;Belo Horizonte - MG;R$ 543,13;Rosa;12;F;;;;;;;;
1201;Sapato Masculino;2;01/01/2021;São Paulo - SP;R$ 546,09;Preto;1;M;;;;;;;;
1202;Sapato Feminino;2;15/08/2021;Salvador -BA;R$ 140,00;Branco;37;M;;;;;;;;
1203;Tênis;1;14/03/2021;Rio de Janeiro - RJ;R$ 144,00;Verde;36;F;;;;;;;;
1204;Tênis;1;08/10/2021;Campinas - SP;R$ 210,00;Verde;34;M;;;;;;;;
1205;Moda Adulta;5;18/11/2021;Curitiba - PR;R$ 212,99;Azul;34;F;;;;;;;;
1206;Moda Infantil;4;19/10/2021;Cascavel - PR;R$ 247,99;Vermelho;35;M;;;;;;;;
1207;Moda Bebe;3;01/11/2021;Florianópolis - SC;R$ 276,49;Rosa;36;F;;;;;;;;
1208;Chinelos;5;12/10/2021;Chapecó - SC;R$ 304,98;Preto;22;F;;;;;;;;
1209;Botas;3;12/02/2021;Goiânia - GO;R$ 333,48;Branco;44;F;;;;;;;;
1210;Tênis;2;02/04/2021;Maringá - PR;R$ 361,98;Verde;36;F;;;;;;;;
1211;Sandália;5;29/09/2021;Araçatuba - SP;R$ 220,00;Verde;40;M;;;;;;;;
1212;Chinelos;2;24/05/2021;Belo Horizonte - MG;R$ 140,00;Azul;39;M;;;;;;;;
1213;Moda Infantil;4;28/11/2021;São Paulo - SP;R$ 144,00;Vermelho;38;F;;;;;;;;
1214;Sapato Masculino;4;06/12/2021;Salvador -BA;R$ 210,00;Rosa;12;M;;;;;;;;
1215;Sapato Feminino;5;01/07/2021;Rio de Janeiro - RJ;R$ 212,99;Preto;1;F;;;;;;;;
1216;Moda Bebe;2;27/07/2021;Campinas - SP;R$ 199,99;Branco;37;M;;;;;;;;
1217;Chinelos;2;15/08/2021;Curitiba - PR;R$ 510,99;Verde;36;F;;;;;;;;
1218;Botas;1;26/09/2021;Cascavel - PR;R$ 411,11;Verde;34;F;;;;;;;;
1219;Tênis;1;02/11/2021;Florianópolis - SC;R$ 220,00;Azul;34;F;;;;;;;;
1220;Sandália;5;16/02/2021;Chapecó - SC;R$ 140,00;Vermelho;35;F;;;;;;;;
1221;Chinelos;4;05/06/2021;Goiânia - GO;R$ 144,00;Rosa;36;M;;;;;;;;
1222;Moda Infantil;3;19/11/2021;Maringá - PR;R$ 210,00;Preto;22;M;;;;;;;;
1223;Sapato Masculino;5;15/01/2021;Araçatuba - SP;R$ 212,99;Branco;44;F;;;;;;;;
1224;Tênis;3;25/11/2021;Belo Horizonte - MG;R$ 199,99;Verde;36;M;;;;;;;;
1225;Sandália;2;11/07/2021;São Paulo - SP;R$ 510,99;Verde;40;F;;;;;;;;
1226;Chinelos;5;28/01/2021;Salvador -BA;R$ 411,11;Azul;39;M;;;;;;;;
1227;Moda Infantil;2;16/08/2021;Rio de Janeiro - RJ;R$ 220,00;Vermelho;38;F;;;;;;;;
1228;Sapato Masculino;4;09/07/2021;Campinas - SP;R$ 140,00;Rosa;12;F;;;;;;;;
1229;Sapato Feminino;4;19/08/2021;Curitiba - PR;R$ 144,00;Preto;1;F;;;;;;;;
1230;Tênis;5;27/01/2021;Cascavel - PR;R$ 210,00;Branco;37;F;;;;;;;;
1231;Tênis;2;10/07/2021;Florianópolis - SC;R$ 212,99;Verde;36;M;;;;;;;;
1232;Moda Adulta;2;04/10/2021;Chapecó - SC;R$ 199,99;Verde;34;M;;;;;;;;
1233;Moda Infantil;1;04/10/2021;Goiânia - GO;R$ 510,99;Azul;34;F;;;;;;;;
1234;Moda Bebe;1;25/12/2021;Maringá - PR;R$ 411,11;Vermelho;35;M;;;;;;;;
1235;Chinelos;5;28/10/2021;Araçatuba - SP;R$ 220,00;Rosa;36;F;;;;;;;;
1236;Botas;4;23/05/2021;Belo Horizonte - MG;R$ 140,00;Preto;22;M;;;;;;;;
1237;Tênis;3;02/04/2021;Belo Horizonte - MG;R$ 144,00;Branco;44;F;;;;;;;;
1238;Sandália;5;26/06/2021;São Paulo - SP;R$ 210,00;Verde;36;F;;;;;;;;
1239;Chinelos;3;05/12/2021;Salvador -BA;R$ 212,99;Verde;40;F;;;;;;;;
1240;Moda Infantil;2;03/02/2021;Rio de Janeiro - RJ;R$ 199,99;Azul;39;F;;;;;;;;
1241;Sapato Masculino;5;09/09/2021;Campinas - SP;R$ 510,99;Vermelho;38;M;;;;;;;;
1242;Sapato Feminino;2;24/12/2021;Curitiba - PR;R$ 411,11;Rosa;12;M;;;;;;;;
1243;Tênis;4;07/04/2021;Cascavel - PR;R$ 436,33;Preto;1;F;;;;;;;;
1244;Tênis;4;23/11/2021;Florianópolis - SC;R$ 476,38;Branco;37;M;;;;;;;;
1245;Moda Adulta;5;31/05/2021;Chapecó - SC;R$ 516,42;Verde;36;F;;;;;;;;
1246;Moda Bebe;2;21/02/2021;Goiânia - GO;R$ 556,46;Verde;34;M;;;;;;;;
1247;Chinelos;2;03/09/2021;Maringá - PR;R$ 596,51;Azul;34;F;;;;;;;;
1248;Botas;1;27/10/2021;Araçatuba - SP;R$ 636,55;Vermelho;35;F;;;;;;;;
1249;Tênis;1;21/07/2021;Belo Horizonte - MG;R$ 676,60;Rosa;36;F;;;;;;;;
1250;Sandália;5;29/01/2021;Cascavel - PR;R$ 716,64;Preto;22;F;;;;;;;;
1251;Chinelos;4;10/11/2021;Florianópolis - SC;R$ 756,68;Branco;44;M;;;;;;;;
1252;Moda Infantil;3;09/10/2021;Chapecó - SC;R$ 510,99;Verde;36;M;;;;;;;;
1253;Sapato Masculino;5;17/06/2021;Goiânia - GO;R$ 411,11;Verde;40;F;;;;;;;;
1254;Sapato Feminino;3;15/06/2021;Maringá - PR;R$ 220,00;Azul;39;M;;;;;;;;
1255;Tênis;2;03/07/2021;Araçatuba - SP;R$ 140,00;Vermelho;38;F;;;;;;;;
1256;Tênis;5;26/08/2021;Belo Horizonte - MG;R$ 144,00;Rosa;12;M;;;;;;;;
1257;Sandália;2;21/09/2021;São Paulo - SP;R$ 210,00;Preto;1;F;;;;;;;;
1258;Chinelos;4;11/05/2021;Salvador -BA;R$ 212,99;Branco;37;F;;;;;;;;
1259;Moda Infantil;4;02/05/2021;Salvador -BA;R$ 199,99;Verde;36;F;;;;;;;;
1260;Sapato Masculino;5;03/05/2021;Rio de Janeiro - RJ;R$ 510,99;Verde;34;F;;;;;;;;
1261;Tênis;2;04/08/2021;Campinas - SP;R$ 411,11;Azul;34;M;;;;;;;;
1262;Sandália;2;05/05/2021;Curitiba - PR;R$ 436,33;Vermelho;35;M;;;;;;;;
1263;Chinelos;1;02/02/2021;Cascavel - PR;R$ 476,38;Rosa;36;F;;;;;;;;
1264;Moda Infantil;1;04/04/2021;Florianópolis - SC;R$ 516,42;Preto;22;M;;;;;;;;
1265;Sapato Masculino;5;07/08/2021;Chapecó - SC;R$ 556,46;Branco;44;F;;;;;;;;
1266;Sapato Feminino;4;11/01/2021;Goiânia - GO;R$ 596,51;Verde;36;M;;;;;;;;
1267;Tênis;3;09/03/2021;Maringá - PR;R$ 636,55;Verde;40;F;;;;;;;;
1268;Tênis;5;19/02/2021;Araçatuba - SP;R$ 676,60;Azul;39;F;;;;;;;;
1269;Moda Adulta;3;25/12/2021;Belo Horizonte - MG;R$ 716,64;Vermelho;38;F;;;;;;;;
1270;Moda Infantil;2;20/11/2021;Salvador -BA;R$ 756,68;Rosa;12;F;;;;;;;;
1271;Moda Bebe;5;25/10/2021;Rio de Janeiro - RJ;R$ 510,99;Preto;41;M;;;;;;;;
1272;Chinelos;2;11/05/2021;Campinas - SP;R$ 411,11;Branco;37;M;;;;;;;;
1273;Botas;4;03/12/2021;Curitiba - PR;R$ 220,00;Verde;36;F;;;;;;;;
1274;Tênis;4;19/02/2021;Cascavel - PR;R$ 140,00;Verde;34;M;;;;;;;;
1275;Sandália;5;13/05/2021;Florianópolis - SC;R$ 144,00;Azul;34;F;;;;;;;;
1276;Chinelos;2;11/12/2021;Chapecó - SC;R$ 210,00;Vermelho;35;M;;;;;;;;
1277;Moda Infantil;2;22/12/2021;Goiânia - GO;R$ 212,99;Rosa;36;F;;;;;;;;
1278;Sapato Masculino;1;03/05/2021;Maringá - PR;R$ 199,99;Preto;22;F;;;;;;;;
1279;Sapato Feminino;1;16/05/2021;Araçatuba - SP;R$ 510,99;Branco;44;F;;;;;;;;
1280;Tênis;5;19/10/2021;Belo Horizonte - MG;R$ 411,11;Verde;36;F;;;;;;;;
